date,method,t_df,ewma_sigma
2025-09-26,Parametric (t + EWMA),8.3878,0.006
2025-09-26,Monte Carlo (Student-t),5.0255,
2025-09-29,Parametric (t + EWMA),8.3711,0.0059
2025-09-29,Monte Carlo (Student-t),5.0125,
2025-09-30,Parametric (t + EWMA),8.3569,0.0057
2025-09-30,Monte Carlo (Student-t),5.009,
2025-10-01,Parametric (t + EWMA),8.3341,0.0056
2025-10-01,Monte Carlo (Student-t),5.0049,
2025-10-02,Parametric (t + EWMA),8.3325,0.0056
2025-10-02,Monte Carlo (Student-t),5.0039,
2025-10-03,Parametric (t + EWMA),8.3305,0.0054
2025-10-03,Monte Carlo (Student-t),5.003,
2025-10-06,Parametric (t + EWMA),8.2682,0.0053
2025-10-06,Monte Carlo (Student-t),4.9845,
2025-10-07,Parametric (t + EWMA),8.2794,0.0052
2025-10-07,Monte Carlo (Student-t),4.9847,
2025-10-08,Parametric (t + EWMA),8.2858,0.0052
2025-10-08,Monte Carlo (Student-t),4.9839,
2025-10-09,Parametric (t + EWMA),8.2898,0.0052
2025-10-09,Monte Carlo (Student-t),4.983,
2025-10-10,Parametric (t + EWMA),8.2934,0.0051
2025-10-10,Monte Carlo (Student-t),4.983,
2025-10-13,Parametric (t + EWMA),7.2584,0.0083
2025-10-13,Monte Carlo (Student-t),4.988,
2025-10-14,Parametric (t + EWMA),7.283,0.0089
2025-10-14,Monte Carlo (Student-t),4.9903,
2025-10-15,Parametric (t + EWMA),7.2789,0.0087
2025-10-15,Monte Carlo (Student-t),4.9893,
2025-10-16,Parametric (t + EWMA),7.2738,0.0085
2025-10-16,Monte Carlo (Student-t),4.9883,
2025-10-17,Parametric (t + EWMA),7.2786,0.0084
2025-10-17,Monte Carlo (Student-t),4.9875,
2025-10-20,Parametric (t + EWMA),7.2908,0.0082
2025-10-20,Monte Carlo (Student-t),4.9892,
2025-10-21,Parametric (t + EWMA),7.2969,0.0085
2025-10-21,Monte Carlo (Student-t),4.9892,
2025-10-22,Parametric (t + EWMA),7.2903,0.0082
2025-10-22,Monte Carlo (Student-t),4.988,
2025-10-23,Parametric (t + EWMA),7.2885,0.008
2025-10-23,Monte Carlo (Student-t),4.9871,
2025-10-24,Parametric (t + EWMA),7.2905,0.0079
2025-10-24,Monte Carlo (Student-t),4.9871,
2025-10-27,Parametric (t + EWMA),7.2947,0.0079
2025-10-27,Monte Carlo (Student-t),4.9858,
2025-10-28,Parametric (t + EWMA),7.3181,0.0083
2025-10-28,Monte Carlo (Student-t),4.988,
2025-10-29,Parametric (t + EWMA),7.313,0.0082
2025-10-29,Monte Carlo (Student-t),4.9871,
2025-10-30,Parametric (t + EWMA),7.3065,0.0079
2025-10-30,Monte Carlo (Student-t),4.9859,
2025-10-31,Parametric (t + EWMA),7.3255,0.0081
2025-10-31,Monte Carlo (Student-t),4.9866,
2025-11-03,Parametric (t + EWMA),7.3308,0.008
2025-11-03,Monte Carlo (Student-t),4.9869,
2025-11-04,Parametric (t + EWMA),7.3291,0.0077
2025-11-04,Monte Carlo (Student-t),4.9868,
2025-11-05,Parametric (t + EWMA),7.3495,0.0079
2025-11-05,Monte Carlo (Student-t),4.9876,
2025-11-06,Parametric (t + EWMA),7.3427,0.0077
2025-11-06,Monte Carlo (Student-t),4.9864,
2025-11-07,Parametric (t + EWMA),7.3659,0.008
2025-11-07,Monte Carlo (Student-t),4.9874,
2025-11-10,Parametric (t + EWMA),7.3599,0.0077
2025-11-10,Monte Carlo (Student-t),4.9871,
2025-11-11,Parametric (t + EWMA),7.3883,0.0084
2025-11-11,Monte Carlo (Student-t),4.9902,
