date,method,confidence,window_start,window_days,var_usd,es_usd,actual_pnl_usd,breach
2025-10-24,Historical,0.95,2020-11-24,1234,19359262.030118562,29018097.928979862,7968326.322391044,False
2025-10-24,Historical,0.97,2020-11-24,1234,24177427.144236766,33860587.16723381,7968326.322391044,False
2025-10-24,Historical,0.99,2020-11-24,1234,35093664.1973665,43352150.08889325,7968326.322391044,False
2025-10-24,Parametric (Normal),0.95,2020-11-24,1234,20067736.39446988,25424800.00919628,7968326.322391044,False
2025-10-24,Parametric (Normal),0.97,2020-11-24,1234,23092548.45403241,28057469.249764267,7968326.322391044,False
2025-10-24,Parametric (Normal),0.99,2020-11-24,1234,28804670.281791657,33149025.170992233,7968326.322391044,False
2025-10-24,Monte Carlo (Student-t),0.95,2020-11-24,1234,18587765.939580925,28357189.87933688,7968326.322391044,False
2025-10-24,Monte Carlo (Student-t),0.97,2020-11-24,1234,22684292.150987558,33717088.9666256,7968326.322391044,False
2025-10-24,Monte Carlo (Student-t),0.99,2020-11-24,1234,33466816.966916878,46678282.45094617,7968326.322391044,False
2025-10-27,Historical,0.95,2020-11-27,1233,19362128.95748695,29018097.928979862,13935680.867178276,False
2025-10-27,Historical,0.97,2020-11-27,1233,24185527.303365447,33860587.16723381,13935680.867178276,False
2025-10-27,Historical,0.99,2020-11-27,1233,35094824.728298314,43352150.08889325,13935680.867178276,False
2025-10-27,Parametric (Normal),0.95,2020-11-27,1233,20074994.319082428,25431875.53390841,13935680.867178276,False
2025-10-27,Parametric (Normal),0.97,2020-11-27,1233,23099703.38837676,28064455.136077117,13935680.867178276,False
2025-10-27,Parametric (Normal),0.99,2020-11-27,1233,28811630.72704133,33155837.6975394,13935680.867178276,False
2025-10-27,Monte Carlo (Student-t),0.95,2020-11-27,1233,17992177.895042226,27000425.666466504,13935680.867178276,False
2025-10-27,Monte Carlo (Student-t),0.97,2020-11-27,1233,22055091.8753808,31732530.322381742,13935680.867178276,False
2025-10-27,Monte Carlo (Student-t),0.99,2020-11-27,1233,31552125.41449992,43543350.827646665,13935680.867178276,False
2025-10-28,Historical,0.95,2020-11-30,1233,19362128.95748695,29018097.928979862,4841847.783002544,False
2025-10-28,Historical,0.97,2020-11-30,1233,24185527.303365447,33860587.16723381,4841847.783002544,False
2025-10-28,Historical,0.99,2020-11-30,1233,35094824.728298314,43352150.08889325,4841847.783002544,False
2025-10-28,Parametric (Normal),0.95,2020-11-30,1233,20075422.439671032,25434346.257809363,4841847.783002544,False
2025-10-28,Parametric (Normal),0.97,2020-11-30,1233,23101284.84437006,28067929.674623143,4841847.783002544,False
2025-10-28,Parametric (Normal),0.99,2020-11-30,1233,28815390.167058162,33161253.603546713,4841847.783002544,False
2025-10-28,Monte Carlo (Student-t),0.95,2020-11-30,1233,19045128.514194455,29065022.305526625,4841847.783002544,False
2025-10-28,Monte Carlo (Student-t),0.97,2020-11-30,1233,23262025.49063228,34510979.890588164,4841847.783002544,False
2025-10-28,Monte Carlo (Student-t),0.99,2020-11-30,1233,33966560.57944313,48963471.93488782,4841847.783002544,False
2025-10-29,Historical,0.95,2020-11-30,1234,19359262.030118562,29018097.928979862,-398099.67977580795,False
2025-10-29,Historical,0.97,2020-11-30,1234,24177427.144236766,33860587.16723381,-398099.67977580795,False
2025-10-29,Historical,0.99,2020-11-30,1234,35093664.1973665,43352150.08889325,-398099.67977580795,False
2025-10-29,Parametric (Normal),0.95,2020-11-30,1234,20064528.431305185,25421471.65893887,-398099.67977580795,False
2025-10-29,Parametric (Normal),0.97,2020-11-30,1234,23089272.51550732,28054081.736611146,-398099.67977580795,False
2025-10-29,Parametric (Normal),0.99,2020-11-30,1234,28801265.9770963,33145523.23739185,-398099.67977580795,False
2025-10-29,Monte Carlo (Student-t),0.95,2020-11-30,1234,18858254.589313116,28633194.86173257,-398099.67977580795,False
2025-10-29,Monte Carlo (Student-t),0.97,2020-11-30,1234,22900766.415981736,33928774.90585732,-398099.67977580795,False
2025-10-29,Monte Carlo (Student-t),0.99,2020-11-30,1234,32208503.928173218,47739213.15074646,-398099.67977580795,False
2025-10-30,Historical,0.95,2020-11-30,1235,19356395.10275017,29018097.928979862,-10973120.623407591,False
2025-10-30,Historical,0.97,2020-11-30,1235,24173575.902646206,33605696.11260117,-10973120.623407591,False
2025-10-30,Historical,0.99,2020-11-30,1235,35092503.666434675,43352150.08889325,-10973120.623407591,False
2025-10-30,Parametric (Normal),0.95,2020-11-30,1235,20057237.650765732,25412036.517981566,-10973120.623407591,False
2025-10-30,Parametric (Normal),0.97,2020-11-30,1235,23080770.943437573,28043592.77361274,-10973120.623407591,False
2025-10-30,Parametric (Normal),0.99,2020-11-30,1235,28790477.91958783,33132996.19312954,-10973120.623407591,False
2025-10-30,Monte Carlo (Student-t),0.95,2020-11-30,1235,18438001.426142544,28414439.707390085,-10973120.623407591,False
2025-10-30,Monte Carlo (Student-t),0.97,2020-11-30,1235,22577297.039643444,33664349.11493601,-10973120.623407591,False
2025-10-30,Monte Carlo (Student-t),0.99,2020-11-30,1235,32578491.166142073,47784350.95127183,-10973120.623407591,False
2025-10-31,Historical,0.95,2020-11-30,1236,19353528.175381783,29018097.928979862,3803179.9529835866,False
2025-10-31,Historical,0.97,2020-11-30,1236,24171849.119824708,33605696.11260117,3803179.9529835866,False
2025-10-31,Historical,0.99,2020-11-30,1236,35091343.13550285,43352150.08889325,3803179.9529835866,False
2025-10-31,Parametric (Normal),0.95,2020-11-30,1236,20065878.086900227,25420406.70919544,3803179.9529835866,False
2025-10-31,Parametric (Normal),0.97,2020-11-30,1236,23089258.788497232,28051830.155970655,3803179.9529835866,False
2025-10-31,Parametric (Normal),0.99,2020-11-30,1236,28798677.60829525,33140976.72449133,3803179.9529835866,False
2025-10-31,Monte Carlo (Student-t),0.95,2020-11-30,1236,18028144.02640616,28275373.096701637,3803179.9529835866,False
2025-10-31,Monte Carlo (Student-t),0.97,2020-11-30,1236,22542658.27030219,33700680.874545425,3803179.9529835866,False
2025-10-31,Monte Carlo (Student-t),0.99,2020-11-30,1236,33676608.848852634,47369724.451937415,3803179.9529835866,False
2025-11-03,Historical,0.95,2020-12-03,1234,19359262.030118562,29018097.928979862,2133559.895420891,False
2025-11-03,Historical,0.97,2020-12-03,1234,24177427.144236766,33860587.16723381,2133559.895420891,False
2025-11-03,Historical,0.99,2020-12-03,1234,35093664.1973665,43352150.08889325,2133559.895420891,False
2025-11-03,Parametric (Normal),0.95,2020-12-03,1234,20080569.41216325,25437506.088376,2133559.895420891,False
2025-11-03,Parametric (Normal),0.97,2020-12-03,1234,23105309.797171485,28070112.94642543,2133559.895420891,False
2025-11-03,Parametric (Normal),0.99,2020-12-03,1234,28817296.27312109,33161548.220487837,2133559.895420891,False
2025-11-03,Monte Carlo (Student-t),0.95,2020-12-03,1234,18011744.05448596,26974038.90792885,2133559.895420891,False
2025-11-03,Monte Carlo (Student-t),0.97,2020-12-03,1234,22298634.39575689,31695010.53287361,2133559.895420891,False
2025-11-03,Monte Carlo (Student-t),0.99,2020-12-03,1234,32336658.912060946,42486010.99451307,2133559.895420891,False
2025-11-04,Historical,0.95,2020-12-04,1234,19359262.030118562,29018097.928979862,-9790137.118954811,False
2025-11-04,Historical,0.97,2020-12-04,1234,24177427.144236766,33860587.16723381,-9790137.118954811,False
2025-11-04,Historical,0.99,2020-12-04,1234,35093664.1973665,43352150.08889325,-9790137.118954811,False
2025-11-04,Parametric (Normal),0.95,2020-12-04,1234,20076463.32576978,25433271.349155832,-9790137.118954811,False
2025-11-04,Parametric (Normal),0.97,2020-12-04,1234,23101131.06825411,28065814.98220667,-9790137.118954811,False
2025-11-04,Parametric (Normal),0.99,2020-12-04,1234,28812980.36445891,33157127.979755554,-9790137.118954811,False
2025-11-04,Monte Carlo (Student-t),0.95,2020-12-04,1234,18231866.58994894,27810852.360355534,-9790137.118954811,False
2025-11-04,Monte Carlo (Student-t),0.97,2020-12-04,1234,22639785.164718106,32847759.193564136,-9790137.118954811,False
2025-11-04,Monte Carlo (Student-t),0.99,2020-12-04,1234,32612670.7087483,45582346.64881802,-9790137.118954811,False
2025-11-05,Historical,0.95,2020-12-07,1234,19359262.030118562,29018097.928979862,3002131.997577651,False
2025-11-05,Historical,0.97,2020-12-07,1234,24177427.144236766,33860587.16723381,3002131.997577651,False
2025-11-05,Historical,0.99,2020-12-07,1234,35093664.1973665,43352150.08889325,3002131.997577651,False
2025-11-05,Parametric (Normal),0.95,2020-12-07,1234,20094394.269602653,25452092.027910225,3002131.997577651,False
2025-11-05,Parametric (Normal),0.97,2020-12-07,1234,23119564.391956627,28085072.91127739,3002131.997577651,False
